Sr. No.,State,Branch Name,Client id,Center Name,Loan Id,Loan Amount,Net Deduct,Interest Collection,Pre Pay Amount,Net Amount,Date,Transaction date
44,Haryana,CHARKHI DADRI,4564172,palarisaroj,3593830,60000,4316,0,0,55684,01-07-2024,02-07-2024
45,Haryana,CHARKHI DADRI,4564292,palarisaroj,3593831,60000,4316,0,0,55684,01-07-2024,02-07-2024
46,Rajasthan,Chauhtan,3633346,Jakhado ki dhani Ratasar DSB,3594762,40000,3278,0,0,36722,01-07-2024,02-07-2024
47,Rajasthan,Chauhtan,3677598,Kaprau super star,3594893,60000,4316,0,0,55684,01-07-2024,02-07-2024
48,Rajasthan,Chauhtan,3722256,Kaprau super star,3594890,40000,3278,0,0,36722,01-07-2024,02-07-2024
49,Rajasthan,Chauhtan,4555771,Booth Fanta Fore MS,3591512,50000,3797,0,0,46203,01-07-2024,02-07-2024
50,Rajasthan,Chauhtan,4555887,Booth Fanta Fore MS,3591513,50000,3797,0,0,46203,01-07-2024,02-07-2024
51,Rajasthan,Chauhtan,4566155,Kaprau super star,3594886,60000,4316,0,0,55684,01-07-2024,02-07-2024
52,Rajasthan,Chauhtan,4567393,Jakhado ki dhani Ratasar DSB,3594761,40000,3278,0,0,36722,01-07-2024,01-07-2024
53,Rajasthan,Chauhtan,4568224,Jakhado ki dhani Ratasar DSB,3594760,40000,3278,0,0,36722,01-07-2024,02-07-2024
54,Madhya Pradesh,chhatarpur,4555396,gram manpura B,3590678,40000,3278,0,0,36722,01-07-2024,02-07-2024
55,Madhya Pradesh,chhatarpur,4555684,gram manpura B,3590682,40000,3278,0,0,36722,01-07-2024,02-07-2024
56,Madhya Pradesh,chhatarpur,4555784,gram manpura B,3590684,40000,3278,0,0,36722,01-07-2024,02-07-2024
57,Odisha,Chhendipada,4512670,KARLAGA MANOHARPUR,3595692,40000,3278,0,0,36722,01-07-2024,02-07-2024
58,Odisha,Chhendipada,4571728,KARLAGA MANOHARPUR,3595367,40000,3278,0,0,36722,01-07-2024,02-07-2024
59,Odisha,Chhendipada,4571809,KARLAGA MANOHARPUR,3595368,50000,3797,0,0,46203,01-07-2024,02-07-2024
60,Madhya Pradesh,Dabra,3105334,Raipur ABCDE,3595838,85000,5785,526,30797,47892,01-07-2024,02-07-2024
61,Madhya Pradesh,Dabra,3791206,Gram sirohi pahadiya,3595613,60000,4316,0,0,55684,01-07-2024,01-07-2024
62,Madhya Pradesh,Dabra,3796910,Gram sirohi pahadiya,3595614,50000,3797,0,0,46203,01-07-2024,02-07-2024
63,Madhya Pradesh,Dabra,4570745,Gram sirohi pahadiya,3595616,50000,3797,0,0,46203,01-07-2024,02-07-2024
64,Gujarat,Dahod,2122927,Zari Buzarg Aamli Faliyu,3596060,85000,5785,110,8164,70941,01-07-2024,01-07-2024
65,Gujarat,Dahod,2123236,Zari Buzarg Aamli Faliyu,3596061,85000,5785,110,8164,70941,01-07-2024,01-07-2024
66,Gujarat,Dahod,2665622,Dungari faliyu delsar p,3590775,60000,4316,0,0,55684,01-07-2024,01-07-2024
67,Gujarat,Dahod,3401636,nishal faliyu gundikheda hr,3594483,60000,4316,0,0,55684,01-07-2024,01-07-2024
68,Gujarat,Dahod,4243968,nishal faliyu gundikheda hr,3558431,60000,4316,0,0,55684,01-07-2024,01-07-2024
69,Gujarat,Dahod,4458689,nishal faliyu gundikheda hr,3558429,60000,4316,0,0,55684,01-07-2024,01-07-2024
70,Gujarat,Dahod,4565180,Dungari faliyu delsar p,3594804,60000,4316,0,0,55684,01-07-2024,01-07-2024
71,Gujarat,Dahod,4567501,nishal faliyu gundikheda hr,3594482,60000,4316,0,0,55684,01-07-2024,01-07-2024
72,Gujarat,Dahod,4567577,nishal faliyu gundikheda hr,3594481,60000,4316,0,0,55684,01-07-2024,01-07-2024
73,Gujarat,Dahod,4570123,Dungari faliyu delsar p,3594805,60000,4316,0,0,55684,01-07-2024,01-07-2024
74,Gujarat,Devgarhbaria,2253387,Moti Khajuri patel faliyu,3595996,85000,5785,379,22165,56671,01-07-2024,02-07-2024
75,Uttar Pradesh,Dhampur,4564299,kala kheri c,3595812,50000,2341,0,0,47659,01-07-2024,02-07-2024
76,Uttar Pradesh,Dhampur,4571615,kala kheri c,3595814,40000,3278,0,0,36722,01-07-2024,02-07-2024
77,Uttar Pradesh,Dhampur,4573243,kala kheri c,3595815,50000,3797,0,0,46203,01-07-2024,02-07-2024
78,Gujarat,Dhanpur,2455276,Mahunala aganvadi faliyu MAF,3596154,85000,5785,369,19929,58917,01-07-2024,02-07-2024
79,Gujarat,Dholka,3347880,Rupal Vankar Vas,3596192,85000,5785,409,35839,42967,01-07-2024,02-07-2024
80,Rajasthan,Didwana,2718133,rodu jp,3596684,85000,5785,455,26632,52128,01-07-2024,01-07-2024
81,Odisha,Digapahandi,4548534,Nuapentha,3595649,50000,3797,0,0,46203,01-07-2024,02-07-2024
82,Odisha,Digapahandi,4563185,Nuapentha,3595650,50000,2341,0,0,47659,01-07-2024,02-07-2024
83,Odisha,Digapahandi,4571575,Nuapentha,3595651,50000,3797,0,0,46203,01-07-2024,02-07-2024
84,Gujarat,Diwada,3158724,chamar faliyu bachkariya uttar  m g,3596258,85000,5785,537,34267,44411,01-07-2024,02-07-2024
85,Gujarat,Diwada,3223372,Kheda faliyu ditavas DJB B,3596074,85000,5785,385,33776,45054,01-07-2024,01-07-2024
86,Gujarat,Ellishbridge,1988418,UDHAVNAGAR  2   JUNAVADAJ,3595974,85000,5785,426,23927,54862,01-07-2024,01-07-2024
87,Gujarat,Ellishbridge,3304980,Suryanagari vejalpur,3596242,85000,5785,344,24138,54733,01-07-2024,02-07-2024
88,Gujarat,Ellishbridge,3305559,Suryanagari vejalpur,3596311,85000,5785,507,35628,43080,01-07-2024,01-07-2024
89,Rajasthan,Falna,2187090,GHANERAO VILLAGE VK,3595804,65000,4707,119,11887,48287,01-07-2024,01-07-2024
90,Rajasthan,Falna,2188484,meeno ka bas khuni ka guda,3596366,85000,5785,263,26400,52552,01-07-2024,01-07-2024
91,Uttar Pradesh,Fatehabad,4571830,rihavali tx,3595793,40000,3278,0,0,36722,01-07-2024,02-07-2024
92,Uttar Pradesh,Fatehabad,4571894,rihavali tx,3595794,40000,3278,0,0,36722,01-07-2024,01-07-2024
93,Uttar Pradesh,Fatehabad,4572052,rihavali tx,3595795,40000,3278,0,0,36722,01-07-2024,02-07-2024
94,Gujarat,Fatepura,2087147,NaNa Gada Faliyu Karodiya,3596737,85000,5785,123,8621,70471,01-07-2024,02-07-2024
95,Gujarat,Fatepura,2112497,Bhabhor Faliyu Navagam SSS,3596157,85000,5785,510,35787,42918,01-07-2024,02-07-2024
96,Gujarat,Fatepura,2654910,Hiri Faliyu Vadvas,3595876,85000,5785,371,22639,56205,01-07-2024,01-07-2024
97,Gujarat,Fatepura,2898275,kakaradhara faliyu garadu A1,3595862,85000,5785,373,29040,49802,01-07-2024,01-07-2024
98,Uttar Pradesh,Firozabad,4239266,Kheriya shikmi primary school k pass,3595509,50000,3797,0,0,46203,01-07-2024,01-07-2024
99,Uttar Pradesh,Firozabad,4571105,Kheriya shikmi primary school k pass,3595510,40000,3278,0,0,36722,01-07-2024,01-07-2024
100,Uttar Pradesh,Firozabad,4571506,Kheriya shikmi primary school k pass,3595511,50000,3797,0,0,46203,01-07-2024,01-07-2024
101,Gujarat,Gadhada,670215,Gadhada baharpara BB,3595861,85000,5785,516,34484,44215,01-07-2024,01-07-2024
102,Gujarat,Gadhada,781678,Bahucharajji chock,3596341,85000,5785,520,34760,43935,01-07-2024,01-07-2024
103,Gujarat,Gadhada,2564561,Haripar GG,3551199,65000,4707,263,23113,36917,01-07-2024,02-07-2024
104,Gujarat,Ghoghamba,3032651,dukhan Faliyu kantu s,3596510,85000,5785,455,30409,48351,01-07-2024,01-07-2024
105,Gujarat,Ghoghamba,3201672,Patel Faliyu Jamba A,3596122,85000,5785,385,33776,45054,01-07-2024,01-07-2024
106,Gujarat,Godhra,3044768,Simlet Faliyu mor Dungara A,3596584,85000,5785,452,31737,47026,01-07-2024,01-07-2024
107,Uttar Pradesh,Govardhan,4416379,Khera brahman C,3589034,40000,3278,0,0,36722,01-07-2024,01-07-2024
108,Uttar Pradesh,Govardhan,4559589,Khera brahman C,3595048,50000,3797,0,0,46203,01-07-2024,02-07-2024
109,Rajasthan,GudaMalani,2744435,Barasan PS,3595829,85000,5785,323,17444,61448,01-07-2024,02-07-2024
110,Rajasthan,GudaMalani,2892573,Pabubera BR,3596066,75000,5245,307,28699,40749,01-07-2024,02-07-2024
111,Rajasthan,GudaMalani,3124226,bhilon ki dhani Barasan PC,3595840,85000,5785,345,23059,55811,01-07-2024,02-07-2024
112,Rajasthan,Hanumangarh,2489683,Iti basti C,3596148,65000,4707,251,20710,39332,01-07-2024,02-07-2024
113,Madhya Pradesh,HOSHANGABAD,3354740,ASHIRWAD COLONY ITARSHI,3596228,85000,5785,407,35681,43127,01-07-2024,01-07-2024
114,Madhya Pradesh,Indore,3156962,sagar Palace dhar road khedapati Hanuman mandir ke pass wali gali,3595993,85000,5785,561,34267,44387,01-07-2024,02-07-2024
115,Gujarat,Jamnagar,4572532,SHIVAM ESTATE V,3596080,60000,4316,0,0,55684,01-07-2024,01-07-2024
116,Gujarat,Jamnagar,4572547,SHIVAM ESTATE V,3596081,50000,3797,0,0,46203,01-07-2024,01-07-2024
117,Madhya Pradesh,Jaora,4554590,talidana sb,3591897,40000,3278,0,0,36722,01-07-2024,01-07-2024
118,Madhya Pradesh,Jaora,4570638,talidana sb,3595168,40000,3278,0,0,36722,01-07-2024,01-07-2024
119,Madhya Pradesh,Jaora,4570762,talidana sb,3595169,40000,3278,0,0,36722,01-07-2024,01-07-2024
120,Madhya Pradesh,Jhabua,2096967,bawadi badi gadwada faliya,3596206,85000,5785,121,8492,70602,01-07-2024,02-07-2024
121,Madhya Pradesh,Jhabua,2454262,khedi pitol dugra faliya,3595837,100000,6594,159,17156,76091,01-07-2024,02-07-2024
122,Madhya Pradesh,Jhabua,2839225,meghnagar Sahara coloni AB,3596647,85000,5785,523,28249,50443,01-07-2024,02-07-2024
123,Rajasthan,Jhalawar,1352934,khandiya jmd,3596288,100000,6594,372,20086,72948,01-07-2024,02-07-2024
124,Rajasthan,Jhalawar,3247140,sekhla sp,3596225,75000,5245,369,30484,38902,01-07-2024,02-07-2024
125,Rajasthan,Jhunjhunu,1483393,matana,3596412,100000,6594,615,41115,51676,01-07-2024,02-07-2024
126,Haryana,JIND,2060898,Bhateri Amrali khera,3595851,75000,5245,143,8360,61252,01-07-2024,01-07-2024
127,Madhya Pradesh,JIRAPUR,1444208,Bhadka D,3595345,85000,5785,475,39197,39543,01-07-2024,01-07-2024
128,Himachal Pradesh,Kangra,2887874,rana mohla,3596573,65000,4707,177,15529,44587,01-07-2024,02-07-2024
129,Madhya Pradesh,Katni,2907185,Imaliya,3595783,65000,4707,510,28643,31140,01-07-2024,02-07-2024
130,Madhya Pradesh,Katni,3036141,Lakhapateri,3594129,75000,5245,361,26679,42715,01-07-2024,02-07-2024
131,Madhya Pradesh,Katni,3124213,Dhapai,3595819,85000,5785,269,18922,60024,01-07-2024,02-07-2024
132,Uttar Pradesh,Khatauli,4547624,NAUNA B,3595279,50000,3797,0,0,46203,01-07-2024,02-07-2024
133,Uttar Pradesh,Khatauli,4548333,NAUNA B,3595280,50000,3797,0,0,46203,01-07-2024,02-07-2024
134,Uttar Pradesh,Khatauli,4550552,Badkali A,3595314,50000,3797,0,0,46203,01-07-2024,02-07-2024
135,Uttar Pradesh,Khatauli,4562545,NAUNA B,3595282,40000,3278,0,0,36722,01-07-2024,02-07-2024
136,Uttar Pradesh,Khatauli,4568503,Badkali A,3595315,50000,3797,0,0,46203,01-07-2024,02-07-2024
137,Uttar Pradesh,Khatauli,4571391,Badkali A,3595774,50000,3797,0,0,46203,01-07-2024,02-07-2024
138,Haryana,KOSLI,1859467,Tumbaheri AA,3595789,100000,6594,37,3089,90280,01-07-2024,01-07-2024
139,Haryana,KOSLI,3224549,Jatusana BVB,3596365,85000,3394,357,33343,47906,01-07-2024,02-07-2024
140,Rajasthan,Kota,2302095,Anuradha ji bawdikheda,3595846,100000,6594,154,14391,78861,01-07-2024,01-07-2024
141,Rajasthan,Kota,2343448,Kautilya school k pass Rojdi,3596001,100000,6594,264,17648,75494,01-07-2024,02-07-2024
142,Rajasthan,Kota,3163734,Kherali Fatak Kota,3595850,85000,5785,409,33722,45084,01-07-2024,01-07-2024
143,Uttarakhand,Laksar,3774729,NIYAMATPUR HARIDWAR DOLI a,3596260,40000,3278,0,0,36722,01-07-2024,01-07-2024
144,Uttarakhand,Laksar,3907674,NIYAMATPUR HARIDWAR DOLI a,3596015,40000,3278,0,0,36722,01-07-2024,02-07-2024
145,Uttarakhand,Laksar,4573592,NIYAMATPUR HARIDWAR DOLI a,3596017,40000,3278,0,0,36722,01-07-2024,02-07-2024
146,Gujarat,Limdi,1939668,ravaji Faliyu Kalimahudi ns,3596004,85000,5785,16,1238,77961,01-07-2024,01-07-2024
147,Gujarat,Limdi,2271288,khutan kheda NISHAL Faliyu ab,3595921,85000,5785,172,14199,64844,01-07-2024,01-07-2024
148,Gujarat,Limdi2,1862858,Gador Faliyu Rupakheda,3595904,85000,5785,45,2611,76559,01-07-2024,01-07-2024
149,Gujarat,Limdi2,2244419,Ranapur kuva Faliyu RJ,3596451,85000,5785,102,10989,68124,01-07-2024,02-07-2024
150,Gujarat,Limdi2,2643685,nava faliya bhathiwada SK,3596071,85000,5785,347,23172,55696,01-07-2024,02-07-2024
151,Gujarat,Limdi2,2643688,nava faliya bhathiwada SK,3596073,85000,5785,347,23172,55696,01-07-2024,02-07-2024
152,Gujarat,Limkheda,488010,Agashvani Nishal faliyu B,3596151,100000,6594,574,33578,59254,01-07-2024,01-07-2024
153,Gujarat,Limkheda,1636417,khokhara faliyu manlli ABCD E,3595955,85000,5785,685,38458,40072,01-07-2024,01-07-2024
154,Gujarat,Limkheda,3010568,Nishal faliyu  Dakara,3595909,85000,5785,357,27852,51006,01-07-2024,02-07-2024
155,Rajasthan,Malpura,2740042,Gudgav,3595923,85000,5785,467,26225,52523,01-07-2024,02-07-2024
156,Rajasthan,Mandalgarh,3346604,motaron ka khera Dss,3595843,85000,5785,309,36106,42800,01-07-2024,01-07-2024
157,Gujarat,Maninagar,2663468,Mahajan Nu Dehelu Saraspur,3578985,60000,4316,0,0,55684,01-07-2024,01-07-2024
158,Gujarat,Maninagar,4571256,Mahajan Nu Dehelu Saraspur,3595620,60000,4316,0,0,55684,01-07-2024,01-07-2024
159,Uttar Pradesh,Mawana,4571514,Samaspur canara Bank,3595370,40000,3278,0,0,36722,01-07-2024,01-07-2024
160,Uttar Pradesh,Mawana,4571745,Samaspur canara Bank,3595371,40000,3278,0,0,36722,01-07-2024,02-07-2024
161,Uttar Pradesh,Mawana,4571915,Samaspur canara Bank,3595372,50000,3797,0,0,46203,01-07-2024,01-07-2024
162,Madhya Pradesh,Meghnagar,1372293,kadwapada tawar faliya,3596593,85000,5785,392,34399,44424,01-07-2024,02-07-2024
163,Gujarat,Meghraj,1568050,meda Faliyu  Gaumuvadi Amethi A,3590242,85000,5785,314,33939,44962,01-07-2024,01-07-2024
164,Gujarat,Meghraj,1568103,meda Faliyu  Gaumuvadi Amethi A,3590920,85000,5785,314,33939,44962,01-07-2024,01-07-2024
165,Gujarat,Meghraj,4563835,Dhokli Khadodi,3594930,40000,3278,0,0,36722,01-07-2024,02-07-2024
166,Gujarat,Meghraj,4570100,Dhokli Khadodi,3594931,50000,3797,0,0,46203,01-07-2024,01-07-2024
167,Gujarat,Mora,2979741,Damor Faliyu Metral,3596005,85000,5785,539,36053,42623,01-07-2024,02-07-2024
168,Gujarat,Mora,3073663,Jaladada Zala faliyuVS,3596199,85000,5785,503,30686,48026,01-07-2024,02-07-2024
169,Gujarat,Mora,3074255,Jaladada Zala faliyuVS,3596200,85000,5785,593,36160,42462,01-07-2024,02-07-2024
170,Gujarat,Morbi,3015718,Vanaliya hp,3593641,60000,4316,0,0,55684,01-07-2024,02-07-2024
171,Gujarat,Morbi,4564370,Vanaliya hp,3593640,60000,4316,0,0,55684,01-07-2024,01-07-2024
172,Gujarat,Morva,2028590,larFaliyuDangria DP,3596688,100000,6594,139,11502,81765,01-07-2024,01-07-2024
173,Gujarat,Morva,2040747,dhamnod p,3595911,85000,5785,630,55325,23260,01-07-2024,01-07-2024
174,Gujarat,Morva,2373738,Valagota m raj,3595951,100000,6594,202,17711,75493,01-07-2024,01-07-2024
175,Gujarat,Morva,2447103,RATHOD FALIYU VADODAR MP,3595898,100000,6594,271,16540,76595,01-07-2024,02-07-2024
176,Gujarat,Morva,2836842,Dholi limadi faliyu,3595910,85000,5785,473,31571,47171,01-07-2024,01-07-2024
177,Gujarat,Morva,2887509,daba faliyu bhakher,3596093,85000,5785,356,27739,51120,01-07-2024,01-07-2024
178,Gujarat,Morva,3245418,morava tabhiyat faliyu,3596084,85000,5785,663,35787,42765,01-07-2024,02-07-2024
179,Gujarat,Morva,3297324,Pathanpur Navi vasahat khudra S,3595873,85000,5785,491,36316,42408,01-07-2024,01-07-2024
180,Gujarat,Nadiad,1092318,GokulpurPiplataB,3596096,85000,5785,668,36058,42489,01-07-2024,02-07-2024
181,Rajasthan,Nagor,2256336,Nakesh Gate A,3595853,85000,5785,271,14640,64304,01-07-2024,01-07-2024
182,Haryana,NARAINGARH,1179301,aliyaspur,3596114,85000,5785,819,44226,34170,01-07-2024,02-07-2024
183,Rajasthan,Nimbahera,3251316,Akola Kalan Gadri mohalla,3595945,85000,5785,449,37058,41708,01-07-2024,02-07-2024
184,Odisha,Nischintakoili,4573426,Erakana B,3595984,50000,3797,0,0,46203,01-07-2024,02-07-2024
185,Odisha,Nischintakoili,4573602,Erakana B,3595982,50000,3797,0,0,46203,01-07-2024,02-07-2024
186,Odisha,Nischintakoili,4574108,Erakana B,3595979,50000,3797,0,0,46203,01-07-2024,02-07-2024
187,Rajasthan,Nohar,1991027,jasana Mahal bass ssk,3596138,85000,5785,43,3165,76007,01-07-2024,01-07-2024
188,Rajasthan,Nohar,1991227,jasana Mahal bass ssk,3596020,85000,5785,73,5410,73732,01-07-2024,01-07-2024
189,Rajasthan,Nohar,2056626,Gudiya ssk B,3596333,85000,5785,111,9144,69960,01-07-2024,01-07-2024
190,Rajasthan,Nohar,2198395,Charnwasi Sks,3596382,85000,5785,184,11245,67786,01-07-2024,02-07-2024
191,Rajasthan,Nokha,3236605,Sadhoona sr,3596414,85000,5785,405,24705,54105,01-07-2024,02-07-2024
192,Rajasthan,Nokha,3236663,Sadhoona sr,3596415,75000,5245,607,37058,32090,01-07-2024,01-07-2024
193,Rajasthan,Padmapur,1316463,68LNP 2,3595881,100000,6594,274,24055,69077,01-07-2024,02-07-2024
194,Rajasthan,Pali,2121688,itendra medatiyan R,3595967,85000,3394,75,8029,73502,01-07-2024,01-07-2024
195,Rajasthan,Pali,2339098,Dudhiya,3595135,75000,5245,322,23761,45672,01-07-2024,02-07-2024
196,Haryana,PANIPAT,1329577,MADLAUDA F,3596591,100000,6594,393,21180,71833,01-07-2024,02-07-2024
197,Haryana,PATAUDI,2195313,FARRUKHNAGER GEETA,3594763,85000,5785,150,11697,67368,01-07-2024,02-07-2024
198,Rajasthan,Phagi,3196579,NAYAGANV 2,3596665,85000,5785,435,35946,42834,01-07-2024,01-07-2024
199,Rajasthan,Phagi,4572914,Berwo ki dhani sultaniya,3595678,50000,3797,0,0,46203,01-07-2024,02-07-2024
200,Rajasthan,Phagi,4573800,Berwo ki dhani sultaniya,3595887,50000,2341,0,0,47659,01-07-2024,02-07-2024
201,Rajasthan,Pilani,3200440,Mauji ki Dhani Ab,3596503,85000,5785,501,33505,45209,01-07-2024,02-07-2024
202,Rajasthan,Pilani,3224292,Mauji ki Dhani Ab,3596529,85000,5785,501,33505,45209,01-07-2024,02-07-2024
203,Gujarat,Piplod,1951539,Guna Patel Faliyu XYZ,3596247,100000,6594,108,6083,87215,01-07-2024,02-07-2024
204,Gujarat,Piplod,2386023,GUNA PATEL FALIYU MRF,3595943,85000,5785,307,17217,61691,01-07-2024,01-07-2024
205,Gujarat,Piplod,2976866,Machelai Pasayta faliyu ABCD,3596153,85000,5785,520,28077,50618,01-07-2024,02-07-2024
206,Gujarat,Piplod,2976905,Machelai Pasayta faliyu ABCD,3596205,85000,5785,520,28077,50618,01-07-2024,01-07-2024
207,Gujarat,Piplod,3124786,TOYANI SUTHAR FALIYU SB,3596527,85000,5785,490,34374,44351,01-07-2024,02-07-2024
208,Jharkhand,Rajdhanwar,4422356,Baddiha a,3595465,45000,3537,0,0,41463,01-07-2024,01-07-2024
209,Jharkhand,Rajdhanwar,4559927,Baddiha a,3595466,45000,3537,0,0,41463,01-07-2024,01-07-2024
210,Jharkhand,Rajdhanwar,4560171,Baddiha a,3595467,45000,3537,0,0,41463,01-07-2024,01-07-2024
211,Rajasthan,Ramganjmandi,3318908,jagpura kp,3596161,85000,3394,510,35787,45309,01-07-2024,01-07-2024
212,Rajasthan,Ratangarh,2968945,Ratangarh BBB,3595822,85000,5785,288,28872,50055,01-07-2024,02-07-2024
213,Madhya Pradesh,Ratlam,3300627,Gordhapura HH,3595970,85000,5785,539,36053,42623,01-07-2024,02-07-2024
214,Madhya Pradesh,Ratlam,3301228,Gordhapura HH,3595971,85000,5785,539,36053,42623,01-07-2024,02-07-2024
215,Madhya Pradesh,Ratlam,4556841,Teja nagar lalaguwadi,3593289,40000,3278,0,0,36722,01-07-2024,01-07-2024
216,Madhya Pradesh,Ratlam,4562756,Teja nagar lalaguwadi,3593291,60000,4316,0,0,55684,01-07-2024,01-07-2024
217,Madhya Pradesh,Ratlam,4562824,Teja nagar lalaguwadi,3593292,50000,3797,0,0,46203,01-07-2024,01-07-2024
218,Rajasthan,Sagwara,2658742,Divada ChotaAAPP,3596183,85000,5785,396,26458,52361,01-07-2024,02-07-2024
219,Rajasthan,Sagwara,2659057,Divada ChotaAAPP,3596184,85000,5785,394,26341,52480,01-07-2024,01-07-2024
220,Odisha,Sakhigopal,4571791,hiranyapada AB,3595553,40000,3278,0,0,36722,01-07-2024,02-07-2024
221,Odisha,Sakhigopal,4572018,hiranyapada AB,3595554,50000,3797,0,0,46203,01-07-2024,02-07-2024
222,Odisha,Sakhigopal,4572154,hiranyapada AB,3595555,50000,3797,0,0,46203,01-07-2024,02-07-2024
